Num,Topic,Title,URL,Paragraph,Sentence,keyword1,category1,keyword2,category2,keyword3,category3,keyword4,category4,keyword5,category5,keyword6,category6,keyword7,category7
1,History,American Civil War,https://en.wikipedia.org/wiki/American_Civil_War,"The American Civil War (also known by other names) was a civil war in the United States from 1861 to 1865, fought between northern states loyal to the Union and southern states that had seceded from the Union to form the Confederate States of America.[e] The civil war began primarily as a result of the long-standing controversy over the enslavement of black people. War broke out in April 1861 when secessionist forces attacked Fort Sumter in South Carolina shortly after Abraham Lincoln had been inaugurated as the President of the United States. The loyalists of the Union in the North, which also included some geographically western and southern states, proclaimed support for the Constitution. They faced secessionists of the Confederate States in the South, who advocated for  to uphold slavery.","The American Civil War (also known by other names) was a civil war in the United States from 1861 to 1865, fought between northern states loyal to the Union and southern states that had seceded from the Union to form the Confederate States of America.",American Civil War,KeyTerm,United States,Place,1861,Year,1865,Year,Confederate States of America,KeyTerm,.,.,.,.
2,History,American Civil War,https://en.wikipedia.org/wiki/American_Civil_War,"The American Civil War (also known by other names) was a civil war in the United States from 1861 to 1865, fought between northern states loyal to the Union and southern states that had seceded from the Union to form the Confederate States of America.[e] The civil war began primarily as a result of the long-standing controversy over the enslavement of black people. War broke out in April 1861 when secessionist forces attacked Fort Sumter in South Carolina shortly after Abraham Lincoln had been inaugurated as the President of the United States. The loyalists of the Union in the North, which also included some geographically western and southern states, proclaimed support for the Constitution. They faced secessionists of the Confederate States in the South, who advocated for  to uphold slavery.",War broke out in April 1861 when secessionist forces attacked Fort Sumter in South Carolina shortly after Abraham Lincoln had been inaugurated as the President of the United States.,Fort Sumter,Place,South Carolina,Place,1861,Year,Abraham Lincoln,Person,President of the United States,KeyTerm,.,.,.,.
3,History,American Civil War,https://en.wikipedia.org/wiki/American_Civil_War,"The war effectively ended on April 9, 1865, when Confederate General Robert E. Lee surrendered to Union General Ulysses S. Grant at the Battle of Appomattox Court House. Confederate generals throughout the Southern states followed suit, the last surrender on land occurring June 23. Much of the South's infrastructure was destroyed, especially its railroads. The Confederacy collapsed, slavery was abolished, and four million black slaves were freed.","The war effectively ended on April 9, 1865, when Confederate General Robert E. Lee surrendered to Union General Ulysses S. Grant at the Battle of Appomattox Court House.","April 9, 1865",Date,Confederate General Robert E. Lee,Person,Union General Ulysses S. Grant,Person,Battle of Appomattox Court House,Place,.,.,.,.,.,.
4,History,American Civil War,https://en.wikipedia.org/wiki/American_Civil_War,"Slavery was a major cause of disunion.[26] Although there were opposing views even in the Union States,[27][28] most Northern soldiers were mostly indifferent on the subject of slavery,[29] while Confederates fought the war mainly to protect a Southern society of which slavery was an integral part.[30][31] From the anti-slavery perspective, the issue was primarily about whether the system of slavery was an anachronistic evil that was incompatible with republicanism. The strategy of the anti-slavery forces was containment?to stop the expansion and thus put slavery on a path to gradual extinction.[32] The slave-holding interests in the South denounced this strategy as infringing upon their Constitutional rights.[33] Southern whites believed that the emancipation of slaves would destroy the South's economy, due to the large amount of capital invested in slaves and fears of integrating the ex-slave black population.[34] In particular, Southerners feared a repeat of ""the horrors of Santo Domingo"", in which nearly all white people ? including men, women, children, and even many sympathetic to abolition ? were killed after the successful slave revolt in Haiti. Historian Thomas Fleming points to the historical phrase ""a disease in the public mind"" used by critics of this idea, and proposes it contributed to the segregation in the Jim Crow era following emancipation.[35] These fears were exacerbated by the ","From the anti-slavery perspective, the issue was primarily about whether the system of slavery was an anachronistic evil that was incompatible with republicanism.",anti-slavery,KeyTerm,anachronistic evil,KeyTerm,republicanism,KeyTerm,.,.,.,.,.,.,.,.
5,History,Renaissance,https://en.wikipedia.org/wiki/Renaissance,"The Renaissance was a period in European history marking the transition from the Middle Ages to Modernity and covering the 15th and 16th centuries.  It occurred after the Crisis of the Late Middle Ages and was associated with great social change. In addition to the standard periodization, proponents of a long Renaissance put its beginning in the 14th century and its end in the 17th century. The traditional view focuses more on the early modern aspects of the Renaissance and argues that it was a break from the past, but many historians today focus more on its medieval aspects and argue that it was an extension of the Middle Ages.",was a period in European history marking the transition from the Middle Ages to Modernity and covering the 15th and 16th centuries.,the Middle Ages,KeyTerm,Modernity,KeyTerm,15th and 16th century,Ages,.,.,.,.,.,.,.,.
6,History,Renaissance,https://en.wikipedia.org/wiki/Renaissance,"The intellectual basis of the Renaissance was its version of humanism, derived from the concept of Roman Humanitas and the rediscovery of classical Greek philosophy, such as that of Protagoras, who said that ""Man is the measure of all things."" This new thinking became manifest in art, architecture, politics, science and literature. Early examples were the development of perspective in oil painting and the recycled knowledge of how to make concrete. Although the invention of metal movable type sped the dissemination of ideas from the later 15th century, the changes of the Renaissance were not uniformly experienced across Europe: the first traces appear in Italy as early as the late 13th century, in particular with the writings of Dante and the paintings of Giotto.","The intellectual basis of the Renaissance was its version of humanism, derived from the concept of Roman Humanitas and the rediscovery of classical Greek philosophy, such as that of Protagoras, who said that ""Man is the measure of all things.""",humanism,KeyTerm,Reoman Humanitas,KeyTerm,classical Greek philosophy,KeyTerm,Protagoras,KeyTerm,"""Man is the measure of all things.""",Quote,.,.,.,.
7,History,Renaissance,https://en.wikipedia.org/wiki/Renaissance,"As a cultural movement, the Renaissance encompassed innovative flowering of Latin and vernacular literatures, beginning with the 14th-century resurgence of learning based on classical sources, which contemporaries credited to Petrarch; the development of linear perspective and other techniques of rendering a more natural reality in painting; and gradual but widespread educational reform. In politics, the Renaissance contributed to the development of the customs and conventions of diplomacy, and in science to an increased reliance on observation and inductive reasoning. Although the Renaissance saw revolutions in many intellectual pursuits, as well as social and political upheaval, it is perhaps best known for its artistic developments and the contributions of such polymaths as Leonardo da Vinci and Michelangelo, who inspired the term ""Renaissance man"".","In politics, the Renaissance contributed to the development of the customs and conventions of diplomacy, and in science to an increased reliance on observation and inductive reasoning.",customs and conventions of diplomacy,KeyTerm,inductive reasoning,KeyTerm,.,.,.,.,.,.,.,.,.,.
8,Society,Marxism,https://en.wikipedia.org/wiki/Marxism,"Marxism is a method of socioeconomic analysis that uses a materialist interpretation of historical development to understand class relations and social conflict, as well as a dialectical perspective to view social transformation. It originates from the works of 19th-century German philosophers Karl Marx and Friedrich Engels. As Marxism has developed over time into various branches and schools of thought, there is currently no single definitive Marxist theory.",It originates from the works of 19th-century German philosophers Karl Marx and Friedrich Engels.,Karl Marx,Person,Friedrich Engels,Person,.,.,.,.,.,.,.,.,.,.
9,Society,Marxism,https://en.wikipedia.org/wiki/Marxism,"According to orthodox Marxist theory, the overthrow of capitalism by a socialist revolution in contemporary society is inevitable. While the inevitability of an eventual socialist revolution is a controversial debate among many different Marxist schools of thought, all Marxists believe socialism is a necessity. Marxists argue that a socialist society is far better for the majority of the populace than its capitalist counterpart.","According to orthodox Marxist theory, the overthrow of capitalism by a socialist revolution in contemporary society is inevitable.",orthodox Marxist theory,KeyTerm,capitalism,KeyTerm,socialist revolution,KeyTerm,.,.,.,.,.,.,.,.
10,Biology,Transcription,https://en.wikipedia.org/wiki/Transcription_(biology),"Both DNA and RNA are nucleic acids, which use base pairs of nucleotides as a complementary language. During transcription, a DNA sequence is read by an RNA polymerase, which produces a complementary, antiparallel RNA strand called a primary transcript.","During transcription, a DNA sequence is read by an RNA polymerase, which produces a complementary, antiparallel RNA strand called a primary transcript.",RNA polymerase,KeyTerm,primary transcript,KeyTerm,.,.,.,.,.,.,.,.,.,.
11,Biology,Transcription,https://en.wikipedia.org/wiki/Transcription_(biology),"In archaea and eukaryotes, RNA polymerase contains subunits homologous to each of the five RNA polymerase subunits in bacteria and also contains additional subunits. In archaea and eukaryotes, the functions of the bacterial general transcription factor sigma are performed by multiple general transcription factors that work together.[5] In archaea, there are three general transcription factors: TBP, TFB, and TFE. In eukaryotes, in RNA polymerase II-dependent transcription, there are six general transcription factors: TFIIA, TFIIB (an ortholog of archaeal TFB), TFIID (a multisubunit factor in which the key subunit, TBP, is an ortholog of archaeal TBP), TFIIE (an ortholog of archaeal TFE), TFIIF, and TFIIH. The TFIID is the first component to bind to DNA due to binding of TBP, while TFIIH is the last component to be recruited. In archaea and eukaryotes, the RNA polymerase-promoter closed complex is usually referred to as the ""preinitiation complex.""[6]","In archaea and eukaryotes, the RNA polymerase-promoter closed complex is usually referred to as the ""preinitiation complex.""[",preinitiation complex,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
12,Biology,Allergy,https://en.wikipedia.org/wiki/Allergy,"Allergies, also known as allergic diseases, are a number of conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment. These diseases include hay fever, food allergies, atopic dermatitis, allergic asthma, and anaphylaxis. Symptoms may include red eyes, an itchy rash, sneezing, a runny nose, shortness of breath, or swelling. Food intolerances and food poisoning are separate conditions. Common allergens include pollen and certain foods. Metals and other substances may also cause problems. Food, insect stings, and medications are common causes of severe reactions. Their development is due to both genetic and environmental factors. The underlying mechanism involves immunoglobulin E antibodies (IgE), part of the body's immune system, binding to an allergen and then to a receptor on mast cells or basophils where it triggers the release of inflammatory chemicals such as histamine. Diagnosis is typically based on a person's medical history. Further testing of the skin or blood may be useful in certain cases. Positive tests, however, may not mean there is a significant allergy to the substance in question.
","Allergies, also known as allergic diseases, are a number of conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment.",hypersensitivity,KeyTerm,immune system,KeyTerm,.,.,.,.,.,.,.,.,.,.
13,Biology,Allergy,https://en.wikipedia.org/wiki/Allergy,"Allergies, also known as allergic diseases, are a number of conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment. These diseases include hay fever, food allergies, atopic dermatitis, allergic asthma, and anaphylaxis. Symptoms may include red eyes, an itchy rash, sneezing, a runny nose, shortness of breath, or swelling. Food intolerances and food poisoning are separate conditions. Common allergens include pollen and certain foods. Metals and other substances may also cause problems. Food, insect stings, and medications are common causes of severe reactions. Their development is due to both genetic and environmental factors. The underlying mechanism involves immunoglobulin E antibodies (IgE), part of the body's immune system, binding to an allergen and then to a receptor on mast cells or basophils where it triggers the release of inflammatory chemicals such as histamine. Diagnosis is typically based on a person's medical history. Further testing of the skin or blood may be useful in certain cases. Positive tests, however, may not mean there is a significant allergy to the substance in question.
","Symptoms may include red eyes, an itchy rash, sneezing, a runny nose, shortness of breath, or swelling.",red eyes,KeyTerm,itchy rash,KeyTerm,sneezing,KeyTerm,runny nose,KeyTerm,shortness of breadth,KeyTerm,swelling,KeyTerm,.,.
14,Biology,Cloning,https://en.wikipedia.org/wiki/Cloning,"Cloning is the process of producing individuals with identical or virtually identical DNA, either naturally or artificially. In nature, many organisms produce clones through asexual reproduction. Cloning in biotechnology refers to the process of creating clones of organisms or copies of cells or DNA fragments (molecular cloning). The term clone is derived from the Ancient Greek word kl?n, ""twig"", referring to the process whereby a new plant can be created from a twig. In botany, the term lusus was traditionally used. In horticulture, the spelling clon was used until the twentieth century; the final e came into use to indicate the vowel is a ""long o"" instead of a ""short o"". Since the term entered the popular lexicon in a more general context, the spelling clone has been used exclusively.","In nature, many organisms produce clones through asexual reproduction.",asexual reproduction,KeyTerm,.,.,.,.,.,.,.,.,.,.,.,.
15,Biology,Amnesia,https://en.wikipedia.org/wiki/Amnesia,"Amnesia is a deficit in memory caused by brain damage or disease, but it can also be caused temporarily by the use of various sedatives and hypnotic drugs. The memory can be either wholly or partially lost due to the extent of damage that was caused. There are two main types of amnesia: retrograde amnesia and anterograde amnesia. Retrograde amnesia is the inability to retrieve information that was acquired before a particular date, usually the date of an accident or operation. In some cases the memory loss can extend back decades, while in others the person may lose only a few months of memory. Anterograde amnesia is the inability to transfer new information from the short-term store into the long-term store. People with anterograde amnesia cannot remember things for long periods of time. These two types are not mutually exclusive; both can occur simultaneously.","Amnesia is a deficit in memory caused by brain damage or disease, but it can also be caused temporarily by the use of various sedatives and hypnotic drugs.",memory,KeyTerm,brain damage or disease,KeyTerm,sedatives and hypnotic drugs,KeyTerm,.,.,.,.,.,.,.,.
